Code,Name,Zone,Latitude,Longitude,Distance
RARR1,ARROTEIA,mai/04,41.21923048,-8.591370664,7.664406832
STO1,S.TA OVAIA,GDM1,41.16157868,-8.53394721,7.669710912
MFP2,M. FERREIRA PINTO,mai/01,41.22224724,-8.603782353,7.670676568
ARRG2,ARREGADAS,mai/04,41.21695996,-8.584069376,7.683691427
JLD2,JÚLIO DINIS,mai/04,41.20866096,-8.567010431,7.685595099
JLD1,JÚLIO DINIS,mai/04,41.2083842,-8.566436483,7.692407925
CGG,COMBATENTES G.GUERRA,GDM1,41.14349154,-8.534265083,7.72084534
HB1,HENRIQUE BARROS,mai/01,41.22350021,-8.608074492,7.731809096
PTHS2,PONTELHAS,GDM1,41.17924112,-8.538440362,7.73723033
CSAD4,CENTRO SAÚDE,mai/04,41.2191389,-8.58863959,7.742283694
MSB2,MONTE S.BRÁS,MTS2,41.21872964,-8.663057808,7.746683126
REXP2,ROT. DA EXPONOR,MTS2,41.20167288,-8.694082497,7.746718265
AVLM2,AV.LIDADOR DA MAIA,mai/04,41.20562765,-8.561321054,7.748029724
CSLP1,C. SAÚDE LEÇA PALMEIRA,MTS2,41.19939552,-8.69671142,7.748837089
HB2,HENRIQUE BARROS,mai/01,41.22375852,-8.608491848,7.753677805
MARS2,MAR SHOPPING NASCENTE,MTS2,41.20821542,-8.685482675,7.763878592
ISNT2,INFANTE SANTO,VNG4,41.08864212,-8.653378027,7.765481669
ISNT1,INFANTE SANTO,VNG4,41.08866435,-8.65352817,7.766964904
AVLM1,AV.LIDADOR DA MAIA,mai/04,41.20569154,-8.561080574,7.767057416
ENXN4,ENXINHÃES,mai/01,41.2221948,-8.59897613,7.768735404
MSB1,MONTE S. BRÁS,MTS2,41.21889999,-8.663199866,7.768830492
REXP1,ROT. DA EXPONOR,MTS2,41.20183407,-8.694262698,7.769907605
CSLP2,C. SAÚDE LEÇA PALMEIRA,MTS2,41.19996126,-8.69648539,7.77436151
MARS1,MAR SHOPPING NASCENTE,MTS2,41.20827724,-8.685733572,7.782760225
ENXN3,ENXINHÃES,mai/01,41.22233049,-8.598822068,7.786850811
